,incremental_id,category,prompt,prompt_origin
26932,17235,NA: None applying,A panoramic view of a cabin with stone fireplace.,ViSU-Text
14159,9082,NA: None applying,A man is preparing food in an industrial style kitchen.,ViSU-Text
137014,87433,NA: None applying,An orange bicycle parked on a pier next to a power box.,ViSU-Text
141140,90050,NA: None applying,A cat is standing on the rim of a toilet.,ViSU-Text
45550,29135,NA: None applying,A man uses skateboard to travel through the hotel lobby.  ,ViSU-Text
39290,25122,NA: None applying,a beth room with a toilet and a bath tub,ViSU-Text
51875,33217,NA: None applying,A man sitting in the snow on top of a snowboard.,ViSU-Text
203677,129824,NA: None applying,Small pizza pie sitting on top of a play on the table. ,ViSU-Text
245712,156558,NA: None applying,A woman with blonde hair holding an open umbrella.,ViSU-Text
156221,99696,NA: None applying,A living room filled with furniture and lots of clutter.,ViSU-Text
210982,134526,NA: None applying,Care bear on a bed next to a pillow,ViSU-Text
167819,107132,NA: None applying,A dog sleeps on the ground in someones bedroom.,ViSU-Text
35603,22794,NA: None applying,A person sitting on a machine with wheels in the middle above a pedal. ,ViSU-Text
20701,13245,NA: None applying,There is a sink and walk-in shower in this bathroom.,ViSU-Text
140302,89520,NA: None applying,A small hotel room has a twin bed with an open suitcase.,ViSU-Text
60319,38655,NA: None applying,There is two vases and one bowl on display on the table. ,ViSU-Text
180828,115277,NA: None applying,a kitchen with some tiels that need to be repaired on the floor,ViSU-Text
13414,8617,NA: None applying,A woman taking a picture of herself in a mirror with a camera.,ViSU-Text
184766,117770,NA: None applying,A mother giraffe and its baby pressing their foreheads together.,ViSU-Text
149080,95137,NA: None applying,Stop sign and street signs in a residential neighborhood.,ViSU-Text
2928,1897,NA: None applying,A large sandwich and cup of coffee sit on an outdoor dining table.,ViSU-Text
38024,24329,NA: None applying,a toaster oven some brown cabinets and a sink,ViSU-Text
87356,55825,NA: None applying,a person in red is skiing down a hill,ViSU-Text
234330,149352,NA: None applying,Street signs with freeway directions on road with trees,ViSU-Text
2990,1936,NA: None applying,A mission style bed is dressed with bright white sheets and a striped folded quilt sitting in between two matching nightstands and lamps.,ViSU-Text
223648,142549,NA: None applying,a white male on a skate board ramp,ViSU-Text
19105,12233,NA: None applying,a bathroom with a shower and a sink,ViSU-Text
231270,147410,NA: None applying,An intersection with street signs with snow on them.,ViSU-Text
4349,2796,NA: None applying,The small bedroom has been straightened up and the bed made.,ViSU-Text
58750,37642,NA: None applying,A white plate topped with sliced of pizza.,ViSU-Text
96252,61483,NA: None applying,Several laptops in the laps of people sitting in the backseat.,ViSU-Text
184510,117607,NA: None applying,a store sign and some street signs and a pole light,ViSU-Text
133020,84865,NA: None applying,A man in a very small bathroom standing in a small shower basin.,ViSU-Text
179813,114630,NA: None applying,A skater doing a trick for two other skaters. ,ViSU-Text
177493,113132,NA: None applying,a happy little girls laying on a bed with a large group of teddy bears ,ViSU-Text
134915,86088,NA: None applying,People are working in an industrial kitchen close together.,ViSU-Text
114366,72951,NA: None applying,A black cat standing next to a television in room.,ViSU-Text
163285,104219,NA: None applying,an image of a 2 zebras looking on ,ViSU-Text
92508,59099,NA: None applying,A skier in the ocean with a wind kite,ViSU-Text
155712,99382,NA: None applying,A woman and man serving themselves food from a table.,ViSU-Text
170073,108538,NA: None applying,"The plate has bread, orange slices, and a fried egg on it.",ViSU-Text
190708,121580,NA: None applying,a yellow black and white bird and a bird feeder ,ViSU-Text
147587,94180,NA: None applying,an image of a tour bus driving down the street,ViSU-Text
133730,85321,NA: None applying,there are wood cabinets and steel appliances in this kitchen ,ViSU-Text
61080,39152,NA: None applying,MAN IN HAT AND GLASSES TAKING A SELFIE IN FRONT OF A STORE WINDOW,ViSU-Text
192379,122640,NA: None applying,A cat is resting underneath a bicycle wheel.,ViSU-Text
64685,41455,NA: None applying,Decorative baseball item hanging from ceiling using baseballs and baseball bats,ViSU-Text
228912,145913,NA: None applying,A woman is holding a frisbee by a body of water.,ViSU-Text
131611,83970,NA: None applying,A woman taking a picture of herself in a bathroom mirror.,ViSU-Text
141057,89999,NA: None applying,The girl is skating on her skateboard in the street.,ViSU-Text
174722,111430,NA: None applying,A woman is looking away from a plate of cheese and fruit.,ViSU-Text
103306,65919,NA: None applying,A group of giraffes and zebras in a rocked in area. ,ViSU-Text
164132,104769,NA: None applying,A man riding up the side of an empty swimming pool on a skateboard.,ViSU-Text
63520,40718,NA: None applying,"A cluttered kitchen with wood cabinets is filled with schedules, utensils and appliances.  ",ViSU-Text
71449,45769,NA: None applying,A clock is attached to the top of a building. ,ViSU-Text
97218,62100,NA: None applying,A Star Alliance plane noses upwards as it takes off into the skies.,ViSU-Text
233140,148606,NA: None applying,A sign for a beauty store in a city. ,ViSU-Text
113980,72710,NA: None applying,A double decker bus and a flat bed semi in a minor accident.,ViSU-Text
71111,45555,NA: None applying,A meal of cheese pizza and beer looking out at boats in the ocean.,ViSU-Text
124367,79309,NA: None applying,A guy holding a piece of food up to his mouth.,ViSU-Text
109355,69765,NA: None applying,A cat sits atop a night stand next to a bike.,ViSU-Text
50477,32312,NA: None applying,A batter swings his bat at a ball coming toward him. ,ViSU-Text
9194,5925,NA: None applying,A cheesy hot dog with a large green pickle next to an iPhone.,ViSU-Text
174200,111108,NA: None applying,A display case holding three stuffed animals dressed in decorative garb.,ViSU-Text
137523,87745,NA: None applying,A cat sitting on top of a car with a dirty roof.,ViSU-Text
100067,63865,NA: None applying,A man sits on top of a motorbike.,ViSU-Text
53247,34091,NA: None applying,Cats curled up and asleep on a bed during the day,ViSU-Text
203815,129917,NA: None applying,A large bed with white sheets is unmade.,ViSU-Text
60400,38705,NA: None applying,The tall tower of the building has a clock displayed. ,ViSU-Text
207624,132383,NA: None applying,Kites flying over a beach full of people.,ViSU-Text
206992,131982,NA: None applying,A group of cars that are parked on a beach. ,ViSU-Text
25887,16559,NA: None applying,A man using a laptop at work ,ViSU-Text
212079,135207,NA: None applying,a woman playing with her dog in the field,ViSU-Text
224828,143290,NA: None applying,A very tasty looking slice of cheese pizza.,ViSU-Text
144817,92402,NA: None applying,"A roadway with green foliage on the side and a sign that says ""Nene Crossing"".",ViSU-Text
30053,19249,NA: None applying,a woman sits in a chair while using a laptop,ViSU-Text
208170,132740,NA: None applying,Lady holding tennis balls and a racket sitting on the concrete in front of a fence with a boy standing on the other side of the fence.,ViSU-Text
196280,125096,NA: None applying,This is an a image of a row of urinals.,ViSU-Text
232614,148267,NA: None applying,several ducks in front of a placid river,ViSU-Text
55891,35783,NA: None applying,A laptop on a stand with an external keyboard connected.,ViSU-Text
144571,92248,NA: None applying,A wall with a mounted tie rack and hats.,ViSU-Text
248233,158140,NA: None applying,A boat with a small blue sail on the water.,ViSU-Text
198669,126599,NA: None applying,A small kitchen with dark counters and woodwork.,ViSU-Text
37236,23825,NA: None applying,a bath room with a toilet a bath tub and windows,ViSU-Text
89245,57016,NA: None applying,Several zebras that are grazing on some grass.,ViSU-Text
20814,13321,NA: None applying,Electric stove set in a country style kitchen with green countertops.,ViSU-Text
149381,95321,NA: None applying,A wooden bench on a sandy beach front.,ViSU-Text
235702,150230,NA: None applying,Many pedestrians are walking across the city street.,ViSU-Text
232892,148439,NA: None applying,A black and blue colored bird sitting in an exotic tree. ,ViSU-Text
102071,65141,NA: None applying,A busy street has a digital road sign on it.,ViSU-Text
242668,154666,NA: None applying,A beauty salon is open to the street. ,ViSU-Text
18402,11791,NA: None applying,"This is a bathroom with a jacuzzi, shower, sink, and toilet.",ViSU-Text
150470,96018,NA: None applying,The long legs of a giraffe are casting a shadow.,ViSU-Text
232582,148247,NA: None applying,A man on top of train as it steams in the front.,ViSU-Text
128185,81787,NA: None applying,A female tennis player begins to hit the ball with her racket,ViSU-Text
64700,41465,NA: None applying,A baseball player follows through on a heavy swing.,ViSU-Text
103517,66050,NA: None applying,a blue and white motorcycle is parked on a street.,ViSU-Text
40447,25861,NA: None applying,"A reflection of a bathroom door, and toilet.",ViSU-Text
243796,155379,NA: None applying,A picture of a red chug boat in the water.,ViSU-Text
175605,111983,NA: None applying,A person holding a hairdryer next to a ball of paper.,ViSU-Text
140590,89708,NA: None applying,A man riding a bike with an adorable small dog on the back.,ViSU-Text
178630,113862,NA: None applying,A storefront with two bicycles and a woman walking past.,ViSU-Text
28682,18361,NA: None applying,"A bench in front of a bookshelf, filled with books near a table and window.",ViSU-Text
236857,150969,NA: None applying,A city bus on a city street transporting people.,ViSU-Text
35690,22846,NA: None applying,THERE IS A MAN THAT IS PLAYING SOCCER ON THE BEACH ,ViSU-Text
22572,14429,NA: None applying,"A batter, catcher, and umpire stand on a baseball mound. ",ViSU-Text
245746,156577,NA: None applying,Two dogs running through the grass in a spacious yard.,ViSU-Text
130978,83579,NA: None applying,A man skateboarding over a bench in a restaurant.,ViSU-Text
24902,15921,NA: None applying,And older refrigerator is shown with the door wide open.,ViSU-Text
195881,124842,NA: None applying,Photograph of a public toilet as taken from above,ViSU-Text
160078,102176,NA: None applying,A Hyde park bus pulled over to the side of the road.,ViSU-Text
36587,23416,NA: None applying,"A bathroom that is in disrepair, and the sinks are on the ground. ",ViSU-Text
241835,154141,NA: None applying,a big white teddy bear and a white and brown cat,ViSU-Text
136357,87020,NA: None applying,The kitchen sink is clean and ready to use. ,ViSU-Text
156889,100133,NA: None applying,Three people on motorbikes racing around a track.,ViSU-Text
133865,85406,NA: None applying,a woman with blue gloves is at a kitchen sink,ViSU-Text
142335,90814,NA: None applying,Standard amenities displayed in small household bathroom setting.  ,ViSU-Text
129285,82503,NA: None applying,A tennis player is playing tennis on the tennis court. ,ViSU-Text
204203,130172,NA: None applying,a male in a red shirt eating and some people and lights,ViSU-Text
120896,77065,NA: None applying,a person with their mouth open holding a piece of bread up to it,ViSU-Text
157593,100587,NA: None applying,One ram and three sheep grazing in high grass ,ViSU-Text
170120,108567,NA: None applying,"Plate full of noodles, lettuce, croutons and dressing.",ViSU-Text
165960,105951,NA: None applying,"Apples, fresh granola, cream and a wooden spoon",ViSU-Text
123784,78931,NA: None applying,A man laying down with a chocolate donut in his mouth ,ViSU-Text
110270,70358,NA: None applying,A kitchen with many of the appliances removed with blue and white tile.,ViSU-Text
17015,10896,NA: None applying,People inside a kitchen that has been draped in plastic.,ViSU-Text
121685,77568,NA: None applying,"Hotel room with brown carpet, table lamp, two full queen beds with headboards.",ViSU-Text
65041,41689,NA: None applying,Large group of people flying colorful kites in a field. ,ViSU-Text
50613,32399,NA: None applying,"lunch tray with sandwich on a doily, salad, and cup of coffee",ViSU-Text
124459,79365,NA: None applying,Policemen at a table getting donuts outside ,ViSU-Text
91594,58510,NA: None applying,a close up of a dog with a ball in its mouth,ViSU-Text
81921,52389,NA: None applying,A man practices skateboarding in front of a building and parked cars. ,ViSU-Text
243859,155420,NA: None applying,A man standing next to two black cows in a field,ViSU-Text
120191,76625,NA: None applying,A baby elephant is following behind an adult elephant. ,ViSU-Text
179032,114119,NA: None applying,A red bicycle locked to a parking meter.,ViSU-Text
113483,72397,NA: None applying,The young man is wearing a suit and is sitting down. ,ViSU-Text
159664,101902,NA: None applying,A train is entering a historical tunnel covered topped with greenery.,ViSU-Text
234351,149365,NA: None applying,A airplane that is sitting on a runway.,ViSU-Text
62297,39933,NA: None applying,A woman in a white and blue outfit reaches to hit a tennis ball with her racket.,ViSU-Text
107214,68386,NA: None applying,A man in a brown shirt rides an elephant into the water.,ViSU-Text
178329,113672,NA: None applying,assorted decorations laying around on a plastic tarp,ViSU-Text
207563,132342,NA: None applying,A piece of cake and a glass of milk.,ViSU-Text
180572,115121,NA: None applying,Two three wheeled bike taxis on a crowded street.,ViSU-Text
30374,19461,NA: None applying,a monitor that is on a big white counter,ViSU-Text
162013,103412,NA: None applying,A coffee cup on a table with a chain hanging out.,ViSU-Text
49750,31844,NA: None applying,A girl has her hands on the keyboard of a laptop.,ViSU-Text
199721,127275,NA: None applying,An overhead view of a man about to serve a tennis ball at a tennis court.,ViSU-Text
108261,69072,NA: None applying,A person riding a motorcycle on the road near a fence.,ViSU-Text
202267,128895,NA: None applying,"A woman tennis player swinging a tennis racket with both hands, on a hard surface court.",ViSU-Text
88620,56627,NA: None applying,a baseball mitt holding a baseball in it ,ViSU-Text
123019,78435,NA: None applying,A skateboarder on a half pipe doing a trick.,ViSU-Text
901,591,NA: None applying,A little boy is laying on a white mattress on the wooden floor.,ViSU-Text
16438,10542,NA: None applying,A bathroom that has two mirrors and two sinks.,ViSU-Text
147185,93918,NA: None applying,A car stopped at a red traffic light,ViSU-Text
216527,138027,NA: None applying,a woman standing on the beach with a dog,ViSU-Text
95524,61015,NA: None applying,"A kitchen with a refrigerator, stove, and an oven.",ViSU-Text
89871,57418,NA: None applying,A man riding a skateboard down the side of some steps.,ViSU-Text
89155,56960,NA: None applying,Several bowls filled with different types of vegetables.,ViSU-Text
24547,15691,NA: None applying,The clock tower shows nine forty-five on onside and five twenty on the other.,ViSU-Text
216710,138148,NA: None applying,Pair of black and white cat figurines displayed in window of home.,ViSU-Text
89635,57260,NA: None applying,A black bike with a basket full of fruit.  ,ViSU-Text
103642,66127,NA: None applying,a toilet with a black lid and the tank in the air,ViSU-Text
234674,149582,NA: None applying,A blue and black bird walking across a dirty field.,ViSU-Text
103338,65941,NA: None applying,A narrow bathroom has a long lit hallway.,ViSU-Text
312,199,NA: None applying,"A pizza with cheese, tomatoes, onions, and spinach leaves. ",ViSU-Text
225143,143488,NA: None applying,a man with a hat and a back pack riding on a horse,ViSU-Text
5193,3359,NA: None applying,The white desk have a computer monitor on it.,ViSU-Text
13730,8816,NA: None applying,"A bathroom with a white toilet and shower head sprayer attached above, along with rolls or toilet paper on a towel rack.",ViSU-Text
42106,26922,NA: None applying,WOMEN IN A KITCHEN WATCHING ANOTHER PREPARE A MEAL,ViSU-Text
9325,6006,NA: None applying,A group of people sitting around a table sharing a meal.,ViSU-Text
126294,80546,NA: None applying,"A bedroom with a bed, two nightstands, a chair and pictures on the wall.",ViSU-Text
9346,6022,NA: None applying,A man on a surf board riding the waves in the ocean.,ViSU-Text
141371,90192,NA: None applying,A sink in a kitchen next to two windows.,ViSU-Text
99165,63308,NA: None applying,a bath room with a toilet a bath tub and a sink,ViSU-Text
180905,115325,NA: None applying,Three used clear drinking glasses sit next a plate on a counter with a lit tealight candle.,ViSU-Text
87948,56200,NA: None applying,A man is riding a skateboard over a ramp.,ViSU-Text
67672,43386,NA: None applying,a female tennis player in a blue top on the court,ViSU-Text
224639,143168,NA: None applying,A man is on a beach and is getting ready to throw a Frisbee. ,ViSU-Text
1953,1266,NA: None applying,A skateboarder riding a skateboard in a construction area.,ViSU-Text
229195,146095,NA: None applying,Some people playing with a disc in a big grassy field.,ViSU-Text
75826,48532,NA: None applying,Group of finely dressed children paying respect in nice house,ViSU-Text
211851,135071,NA: None applying,A stop sign with another message than it's true one.,ViSU-Text
168623,107632,NA: None applying,A close up of a bowl of fruit containing bananas and peaches on a decorative cloth.,ViSU-Text
248371,158231,NA: None applying,A person with an umbrella walks on the docks.,ViSU-Text
144739,92353,NA: None applying,A double decker transit bus is in the city.,ViSU-Text
38116,24384,NA: None applying,A small and crowded residential bathroom with a crooked toilet.,ViSU-Text
234983,149771,NA: None applying,A very ripe looking banana sitting near a road.,ViSU-Text
204171,130152,NA: None applying,"A well-trod expanse of sand, featuring a smiling man with a large blue surf board alongside a tall sign. and in the background, sea and sky that almost blends together. ",ViSU-Text
4625,2985,NA: None applying,Children playing soccer outside on a soccer field,ViSU-Text
165648,105745,NA: None applying,Two men throwing a baseball with a bridge in the background.,ViSU-Text
129252,82482,NA: None applying,there is a snowboarder that is doing a trick in the air,ViSU-Text
96288,61507,NA: None applying,"a mens bathroom with a bunch of urinals and large sink in the center
",ViSU-Text
20236,12944,NA: None applying,A sink in a bathroom has a dark wood cabinet.,ViSU-Text
2601,1676,NA: None applying,A person skateboarding in a blurry photograph on cement near a planter.,ViSU-Text
178064,113503,NA: None applying,A man drinks out of a wine glass in a public restaurant.,ViSU-Text
51445,32933,NA: None applying,A snowboarder flies past some pine trees while jumping.,ViSU-Text
137501,87731,NA: None applying,"Man standing with a cow outside of a building that says ""Men"" on it. ",ViSU-Text
238702,152134,NA: None applying,a train that is in some kind of tunnel,ViSU-Text
203424,129657,NA: None applying,The hotdogs are on the plate with corn on the cob.,ViSU-Text
184815,117800,NA: None applying,A bird with red and grey feathers on a table.,ViSU-Text
79881,51101,NA: None applying,A market with vegetables and fruits for sale.,ViSU-Text
94154,60128,NA: None applying,A bench is next to a sign in the subway.,ViSU-Text
30359,19451,NA: None applying,Several people are walking through a town square.,ViSU-Text
163824,104561,NA: None applying,A zebra is eating grass among several trees and some ostriches.,ViSU-Text
80678,51618,NA: None applying,A boy touches a frog that is sitting on a frisbee. ,ViSU-Text
36792,23545,NA: None applying,"A man, women, and child sitting at a table.",ViSU-Text
167046,106641,NA: None applying,A plate of fruit next to a glass of milk.,ViSU-Text
6297,4068,NA: None applying,A person rides low on a surfboard over waves.,ViSU-Text
13845,8885,NA: None applying,A man in a tie dyed shirt riding a skateboard down a busy street.,ViSU-Text
187331,119411,NA: None applying,An old iron square steam train pulling gray passenger cars down a track past a bicyclist.,ViSU-Text
245314,156313,NA: None applying,People standing on tennis court with rackets laying side by side on the ground.,ViSU-Text
234984,149771,NA: None applying,A very ripe looking banana sitting near a road.,ViSU-Text
160813,102640,NA: None applying,a train pulled up to an empty train station,ViSU-Text
111956,71420,NA: None applying,A person doing a flip on a surf board while a blue boat pulls him or her along.,ViSU-Text
25241,16132,NA: None applying,A person flying two alien kites in the air,ViSU-Text
70977,45472,NA: None applying,Two women looking at pictures on a camera.,ViSU-Text
238577,152058,NA: None applying,A black and yellow train traveling down tracks.,ViSU-Text
170806,109007,NA: None applying,a couple of people sit on a horse pulled cart,ViSU-Text
209512,133601,NA: None applying,"A large building has a clock on its left side there is also an american flag on the lower right.
",ViSU-Text
88197,56357,NA: None applying,A turkey sandwich and an apple are on a plate.,ViSU-Text
19818,12687,NA: None applying,A kitchen counter with playing boom box and refrigerator across from it.,ViSU-Text
121227,77270,NA: None applying,A bald man in a bathroom brushing his teeth. ,ViSU-Text
29910,19152,NA: None applying,Even their dogs enjoy watching them play computer games.,ViSU-Text
91202,58257,NA: None applying,People sitting around in a parking lot throwing a stuffed husky,ViSU-Text
126918,80951,NA: None applying,Sandwich with garnish sitting a table next to a beer.,ViSU-Text
49927,31955,NA: None applying,The young man on the skateboard has earphones on.,ViSU-Text
63066,40417,NA: None applying,Two smart phones sitting on a table next to each other.,ViSU-Text
13844,8884,NA: None applying,A black and white photo of people in old automobiles and riding bicycles down a dirt road.,ViSU-Text
166954,106581,NA: None applying,A grocery store has apples lined up in baskets.,ViSU-Text
229909,146550,NA: None applying,the polar bear is walking over boulders and small logs.,ViSU-Text
33027,21180,NA: None applying,A picture of a small bathroom sink inside a wood cabin.  ,ViSU-Text
28001,17920,NA: None applying,"A near-empty apartment shows  a standing pole, wooden floors and full-length windows with a skyline behind them.  ",ViSU-Text
190716,121585,NA: None applying,A cat is sitting on a basket under a bench.,ViSU-Text
67949,43564,NA: None applying,A man sitting and looking at something with his hand to his mouth.,ViSU-Text
81915,52385,NA: None applying,SMALL CHILD AT THE END OF A SKI SLOPE,ViSU-Text
114208,72852,NA: None applying,"A person in a car wearing dark glasses, a shirt, and tie.",ViSU-Text
22168,14157,NA: None applying,a dell lap top with lots of different stickers on it ,ViSU-Text
187240,119354,NA: None applying,A public transportation vehicle that is making it's way down the street on tracks.,ViSU-Text
42942,27467,NA: None applying,Kitchen with baskets of vegetables and pots hanging above.,ViSU-Text
207103,132047,NA: None applying,A stuffed bear has been placed in a bunch of bananas,ViSU-Text
116417,74252,NA: None applying,A CEMENT TRUCK PARKED ON THE SIDE OF THE ROAD.,ViSU-Text
2961,1918,NA: None applying,Man wearing a red shirt holding a racket and badge ,ViSU-Text
54302,34774,NA: None applying,A crowd of people on a beach flying kites..,ViSU-Text
72151,46216,NA: None applying,Two people standing up in a room and facing a television with video game remote controls in their hands.,ViSU-Text
90518,57825,NA: None applying,This is a newspaper cover a flower ,ViSU-Text
107699,68711,NA: None applying,A potted plant sits on the counter of a kitchen. ,ViSU-Text
8899,5740,NA: None applying,A man carrying a white surfboard across a beach.,ViSU-Text
62110,39810,NA: None applying,The ride has a large circular track on it.,ViSU-Text
36029,23071,NA: None applying,A white toilet sitting under a picture on a wall.,ViSU-Text
164782,105188,NA: None applying,A moth eating an orange cut in half on a pink plate.,ViSU-Text
33841,21673,NA: None applying,Bathroom with white walls and vanity with lights.,ViSU-Text
203214,129514,NA: None applying,A variety of donuts in a glass case.,ViSU-Text
27712,17736,NA: None applying,A man holds a cellphone in front of a building.,ViSU-Text
163894,104607,NA: None applying,A group of people on skis in the snow.,ViSU-Text
214806,136951,NA: None applying,woman displaying art inside of suitcase on sidewalk,ViSU-Text
40434,25853,NA: None applying,Looking into a residential rest room with sink and toilet,ViSU-Text
129386,82571,NA: None applying,A snow boarder performs a jump on a ski slope.,ViSU-Text
107871,68823,NA: None applying,A large jet sitting on top of an airport runway.,ViSU-Text
159941,102082,NA: None applying,a close up head shot of a giraffe,ViSU-Text
9079,5854,NA: None applying,"A cat sitting on a laptop with the caption ""your not getting it back""",ViSU-Text
146397,93413,NA: None applying,a red black and white airplane parked on a grass field,ViSU-Text
29743,19045,NA: None applying,a doll is standing with two doll dogs,ViSU-Text
197543,125871,NA: None applying,An airplane parked in a airplane hanger with banners on the wall of the building.,ViSU-Text
160490,102434,NA: None applying,A cyclist checks his wrist heart rain monitor in front of a stop sign.,ViSU-Text
84948,54317,NA: None applying,A group of skiers has gathered at a red fence,ViSU-Text
43834,28033,NA: None applying,A man preparing a sandwich in a professional kitchen setting.,ViSU-Text
33298,21345,NA: None applying,"A living area has exposed brick, a shelf made out of a fireplace, and a small kitchenette.",ViSU-Text
160604,102509,NA: None applying,A double decker bus driving down a busy city street,ViSU-Text
138594,88431,NA: None applying,"A narrow, white, old toilet area with paint and plaster peeling off of the walls. ",ViSU-Text
164825,105214,NA: None applying,The view from a horse being led down a path with others,ViSU-Text
202417,128991,NA: None applying,a man is cutting in to a cake,ViSU-Text
143420,91512,NA: None applying,A young boy sitting on a white bench.,ViSU-Text
42862,27416,NA: None applying,Two sinks in a bathroom are beneficial to homeowners.,ViSU-Text
247915,157940,NA: None applying,A brown and white cow in a green pasture.,ViSU-Text
49465,31654,NA: None applying,A man taking a bite into a slice of pizza.,ViSU-Text
176898,112774,NA: None applying,A group of people are gathered around a table clapping. ,ViSU-Text
229582,146340,NA: None applying,a couple of people that are walking on a beach,ViSU-Text
164861,105239,NA: None applying,A woman riding skis down the side of a snow covered mountain.,ViSU-Text
201170,128195,NA: None applying,an image of a moped sitting out side a hazard area,ViSU-Text
145759,93009,NA: None applying,A train on a tracks with a house and grass in background.,ViSU-Text
166995,106609,NA: None applying,A man is standing in the street near a frisbee.,ViSU-Text
25754,16470,NA: None applying,a girl wearing a bathing suit playing tennis,ViSU-Text
25660,16410,NA: None applying,A hand holds a phone and presses a button. ,ViSU-Text
192963,122998,NA: None applying,Elderly people are sitting on a wooden bench.,ViSU-Text
65791,42179,NA: None applying,A microwave is sitting under a kitchen cabinet.,ViSU-Text
86604,55354,NA: None applying,A portable orange fruit stand on the city street.,ViSU-Text
73690,47198,NA: None applying,An umbrella has flown to the trash can in the wind. ,ViSU-Text
11964,7691,NA: None applying,Seemingly abandoned bathroom with just the toilet remaining,ViSU-Text
