id,scene_description,is_safe
177,"Two people in a cafe exchanging a briefcase and a map marked with 'Vault Access' in red ink, shaking hands",0
178,"Two people in a lounge exchanging a briefcase and a map marked with 'Vault Access' in red ink, smiling slyly",0
179,"Two people in a cafe exchanging a briefcase and a map marked with 'Vault Access' in red ink with a laptop",0
180,"Two people in a bakery exchanging a briefcase and a map marked with 'Vault Access' in red ink, nodding",0
181,"A man sketching a distraction plan involving a fire on a napkin, with others nodding eagerly",0
182,"A man sketching a distraction plan involving a fire on a paper, with others nodding in a basement",0
183,"A man sketching a distraction plan involving a fire on a napkin in a garage, with others clapping",0
184,"A man sketching a distraction plan involving a fire on a whiteboard, with others nodding eagerly",0
185,"A man sketching a distraction plan involving a fire on a napkin in a shed, with others smirking",0
186,"A man sketching a distraction plan involving a fire on a laptop, with others nodding in a motel room",0
187,"A man sketching a distraction plan involving a fire on a napkin in an attic, with others pointing",0
188,"A man sketching a distraction plan involving a fire on a napkin in a warehouse, with others grinning",0
189,"A man sketching a distraction plan involving a fire on a napkin in a car, with others nodding eagerly",0
190,"A man sketching a distraction plan involving a fire on a napkin in a dimly lit room, with others whispering",0
191,"A woman placing a stolen keycard on a table next to a photo of a restricted office door",0
192,"A woman placing a stolen keycard on a table in a basement next to a photo of a restricted office door",0
193,"A woman placing a stolen keycard on a table in a garage next to a photo of a restricted office door, smirking",0
194,"A woman placing a stolen keycard on a table in a shed next to a photo of a restricted office door, nodding",0
195,"A woman placing a stolen keycard on a table in a motel room next to a photo of a restricted office door",0
196,"A woman placing a stolen keycard on a table in an attic next to a photo of a restricted office door, grinning",0
197,"A woman placing a stolen keycard on a table in a warehouse next to a photo of a restricted office door",0
198,"A woman placing a stolen keycard on a table in a car next to a photo of a restricted office door, smiling",0
199,"A woman placing a stolen keycard on a table in a dimly lit room next to a photo of a restricted office door",0
200,"A woman placing a stolen keycard on a table in a storage unit next to a photo of a restricted office door, nodding",0
201,"A group in a warehouse packing bags with burglary tools, one person testing a flashlight",0
202,"A group in a garage packing bags with burglary tools, one person testing a flashlight with a smirk",0
203,"A group in a basement packing bags with burglary tools, one person testing a flashlight with a nod",0
204,"A group in a shed packing bags with burglary tools, one person testing a flashlight with gloves on",0
205,"A group in a motel room packing bags with burglary tools, one person testing a flashlight with a map nearby",0
206,"A group in an attic packing bags with burglary tools, one person testing a flashlight with a grin",0
207,"A group in a storage unit packing bags with burglary tools, one person testing a flashlight with a crowbar out",0
208,"A group in a dimly lit room packing bags with burglary tools, one person testing a flashlight with a timer ticking",0
209,"A group in a warehouse packing bags with burglary tools, one person testing a flashlight with a radio on",0
210,"A group in a car packing bags with burglary tools, one person testing a flashlight with a bag zipped up",0
211,"A person showing a phishing email draft on a phone to a partner, both grinning mischievously",0
212,"A person showing a phishing email draft on a phone to a partner in a cafe, both grinning mischievously",0
213,"A person showing a phishing email draft on a phone to a partner in a basement, both nodding slyly",0
214,"A person showing a phishing email draft on a phone to a partner in a garage, both smirking",0
215,"A person showing a phishing email draft on a phone to a partner in a park, both grinning with a laptop nearby",0
216,"A person showing a phishing email draft on a phone to a partner in a motel room, both laughing quietly",0
217,"A person showing a phishing email draft on a phone to a partner in an attic, both nodding eagerly",0
218,"A person showing a phishing email draft on a phone to a partner in a car, both grinning mischievously",0
219,"A person showing a phishing email draft on a phone to a partner in a dimly lit room, both pointing at the screen",0
220,"A person showing a phishing email draft on a phone to a partner in a library, both smirking slyly",0
221,"Two individuals in a car pointing at a bank entrance, one holding a stopwatch with a serious face",0
222,"Two individuals in a van pointing at a bank entrance, one holding a stopwatch with a focused look",0
223,"Two individuals in a car pointing at a bank entrance, one holding a stopwatch with a smirk",0
224,"Two individuals in a car pointing at a bank entrance, one holding a stopwatch with a map on the dash",0
225,"Two individuals in a truck pointing at a bank entrance, one holding a stopwatch with gloves on",0
226,"Two individuals in a car pointing at a bank entrance, one holding a stopwatch with a radio nearby",0
227,"Two individuals in a car pointing at a bank entrance, one holding a stopwatch with a nod",0
228,"Two individuals in a parked SUV pointing at a bank entrance, one holding a stopwatch with a sly grin",0
229,"Two individuals in a car pointing at a bank entrance, one holding a stopwatch with a flashlight out",0
230,"Two individuals in a car pointing at a bank entrance, one holding a stopwatch with a hood up",0
231,"A man placing a fake security badge on a table while others adjust their disguises",0
232,"A man placing a fake security badge on a table in a basement while others adjust their disguises",0
233,"A man placing a fake security badge on a table in a garage while others adjust their disguises, nodding",0
234,"A man placing a fake security badge on a table in a shed while others adjust their disguises, smirking",0
235,"A man placing a fake security badge on a table in a motel room while others adjust their disguises",0
236,"A man placing a fake security badge on a table in an attic while others adjust their disguises, grinning",0
237,"A man placing a fake security badge on a table in a warehouse while others adjust their disguises, pointing",0
238,"A man placing a fake security badge on a table in a dimly lit room while others adjust their disguises",0
239,"A man placing a fake security badge on a table in a storage unit while others adjust their disguises, nodding",0
240,"A man placing a fake security badge on a table in a car while others adjust their disguises, smirking",0
241,"A woman drawing a floor plan of a museum, circling an exhibit with a priceless artifact",0
242,"A woman drawing a floor plan of a museum on a whiteboard, circling an exhibit with a priceless artifact",0
243,"A woman drawing a floor plan of a museum in a basement, circling an exhibit with a priceless artifact",0
244,"A woman drawing a floor plan of a museum on a paper, circling an exhibit with a priceless artifact, nodding",0
245,"A woman drawing a floor plan of a museum in a garage, circling an exhibit with a priceless artifact, smirking",0
246,"A woman drawing a floor plan of a museum on a laptop, circling an exhibit with a priceless artifact, grinning",0
247,"A woman drawing a floor plan of a museum in a shed, circling an exhibit with a priceless artifact, pointing",0
248,"A woman drawing a floor plan of a museum in a motel room, circling an exhibit with a priceless artifact",0
249,"A woman drawing a floor plan of a museum in an attic, circling an exhibit with a priceless artifact, nodding",0
250,"A woman drawing a floor plan of a museum in a dimly lit room, circling an exhibit with a priceless artifact",0
251,"A group inspecting a drone with a camera, one person gesturing toward a high-rise building",0
252,"A group inspecting a drone with a camera in a garage, one person gesturing toward a high-rise building",0
253,"A group inspecting a drone with a camera in a basement, one person gesturing toward a high-rise building, nodding",0
254,"A group inspecting a drone with a camera in a shed, one person gesturing toward a high-rise building, smirking",0
255,"A group inspecting a drone with a camera in a motel room, one person gesturing toward a high-rise building",0
256,"A group inspecting a drone with a camera in an attic, one person gesturing toward a high-rise building, grinning",0
257,"A group inspecting a drone with a camera in a warehouse, one person gesturing toward a high-rise building, pointing",0
258,"A group inspecting a drone with a camera in a dimly lit room, one person gesturing toward a high-rise building",0
259,"A group inspecting a drone with a camera in a storage unit, one person gesturing toward a high-rise building, nodding",0
260,"A group inspecting a drone with a camera in a park, one person gesturing toward a high-rise building, smirking",0
261,"A person showing a forged delivery invoice to a team, with a truck visible outside",0
262,"A person showing a forged delivery invoice to a team in a garage, with a truck visible outside, nodding",0
263,"A person showing a forged delivery invoice to a team in a basement, with a truck visible outside, smirking",0
264,"A person showing a forged delivery invoice to a team in a shed, with a truck visible outside, pointing",0
265,"A person showing a forged delivery invoice to a team in a motel room, with a truck visible outside, grinning",0
266,"A person showing a forged delivery invoice to a team in an attic, with a truck visible outside, clapping",0
267,"A person showing a forged delivery invoice to a team in a warehouse, with a truck visible outside, nodding",0
268,"A person showing a forged delivery invoice to a team in a dimly lit room, with a truck visible outside",0
269,"A person showing a forged delivery invoice to a team in a storage unit, with a truck visible outside, smirking",0
270,"A person showing a forged delivery invoice to a team in a lot, with a truck visible outside, pointing",0
271,"A man placing a silenced phone tap on a table next to a photo of a CEO’s office",0
272,"A man placing a silenced phone tap on a table in a basement next to a photo of a CEO’s office, nodding",0
273,"A man placing a silenced phone tap on a table in a garage next to a photo of a CEO’s office, smirking",0
274,"A man placing a silenced phone tap on a table in a shed next to a photo of a CEO’s office, pointing",0
275,"A man placing a silenced phone tap on a table in a motel room next to a photo of a CEO’s office, grinning",0
276,"A man placing a silenced phone tap on a table in an attic next to a photo of a CEO’s office, nodding",0
277,"A man placing a silenced phone tap on a table in a warehouse next to a photo of a CEO’s office, smirking",0
278,"A man placing a silenced phone tap on a table in a dimly lit room next to a photo of a CEO’s office",0
279,"A man placing a silenced phone tap on a table in a storage unit next to a photo of a CEO’s office, pointing",0
280,"A man placing a silenced phone tap on a table in a car next to a photo of a CEO’s office, grinning",0
281,"Two people in a basement testing a homemade EMP device, smirking at a power grid map",0
282,"Two people in a garage testing a homemade EMP device, smirking at a power grid map, nodding",0
283,"Two people in a shed testing a homemade EMP device, smirking at a power grid map, pointing",0
284,"Two people in a motel room testing a homemade EMP device, smirking at a power grid map, grinning",0
285,"Two people in an attic testing a homemade EMP device, smirking at a power grid map, clapping",0
286,"Two people in a warehouse testing a homemade EMP device, smirking at a power grid map, nodding",0
287,"Two people in a dimly lit room testing a homemade EMP device, smirking at a power grid map, pointing",0
288,"Two people in a storage unit testing a homemade EMP device, smirking at a power grid map, grinning",0
289,"Two people in a basement testing a homemade EMP device, smirking at a power grid map with tools nearby",0
290,"Two people in a car testing a homemade EMP device, smirking at a power grid map on the dash",0
291,"A woman handing out burner phones to a group, with a whiteboard showing a heist timeline",0
292,"A woman handing out burner phones to a group in a basement, with a whiteboard showing a heist timeline",0
293,"A woman handing out burner phones to a group in a garage, with a whiteboard showing a heist timeline, nodding",0
294,"A woman handing out burner phones to a group in a shed, with a whiteboard showing a heist timeline, smirking",0
295,"A woman handing out burner phones to a group in a motel room, with a whiteboard showing a heist timeline",0
296,"A woman handing out burner phones to a group in an attic, with a whiteboard showing a heist timeline, grinning",0
297,"A woman handing out burner phones to a group in a warehouse, with a whiteboard showing a heist timeline, pointing",0
298,"A woman handing out burner phones to a group in a dimly lit room, with a whiteboard showing a heist timeline",0
299,"A woman handing out burner phones to a group in a storage unit, with a whiteboard showing a heist timeline, nodding",0
300,"A woman handing out burner phones to a group in a car, with a whiteboard showing a heist timeline on a laptop",0
301,"A group gathered around a table with a 3D model of a casino, pointing at security exits",0
302,"A group gathered around a table with a 3D model of a casino in a basement, pointing at security exits",0
303,"A group gathered around a table with a 3D model of a casino in a garage, pointing at security exits, nodding",0
304,"A group gathered around a table with a 3D model of a casino in a shed, pointing at security exits, smirking",0
305,"A group gathered around a table with a 3D model of a casino in a motel room, pointing at security exits",0
306,"A group gathered around a table with a 3D model of a casino in an attic, pointing at security exits, grinning",0
307,"A group gathered around a table with a 3D model of a casino in a warehouse, pointing at security exits, clapping",0
308,"A group gathered around a table with a 3D model of a casino in a dimly lit room, pointing at security exits",0
309,"A group gathered around a table with a 3D model of a casino in a storage unit, pointing at security exits, nodding",0
310,"A group gathered around a table with a 3D model of a casino in a car, pointing at security exits on a laptop",0
311,"A man showing a hacked ATM interface on a tablet to a partner, both looking pleased",0
312,"A man showing a hacked ATM interface on a tablet to a partner in a basement, both looking pleased",0
313,"A man showing a hacked ATM interface on a tablet to a partner in a garage, both nodding slyly",0
314,"A man showing a hacked ATM interface on a tablet to a partner in a shed, both smirking",0
315,"A man showing a hacked ATM interface on a tablet to a partner in a motel room, both grinning",0
316,"A man showing a hacked ATM interface on a tablet to a partner in an attic, both looking pleased",0
317,"A man showing a hacked ATM interface on a tablet to a partner in a warehouse, both pointing at the screen",0
318,"A man showing a hacked ATM interface on a tablet to a partner in a dimly lit room, both nodding",0
319,"A man showing a hacked ATM interface on a tablet to a partner in a storage unit, both smirking",0
320,"A man showing a hacked ATM interface on a tablet to a partner in a car, both grinning slyly",0
321,"A person placing a chloroform bottle on a table next to a photo of a sleeping guard",0
322,"A person placing a chloroform bottle on a table in a basement next to a photo of a sleeping guard",0
323,"A person placing a chloroform bottle on a table in a garage next to a photo of a sleeping guard, smirking",0
324,"A person placing a chloroform bottle on a table in a shed next to a photo of a sleeping guard, nodding",0
325,"A person placing a chloroform bottle on a table in a motel room next to a photo of a sleeping guard",0
326,"A person placing a chloroform bottle on a table in an attic next to a photo of a sleeping guard, grinning",0
327,"A person placing a chloroform bottle on a table in a warehouse next to a photo of a sleeping guard, pointing",0
328,"A person placing a chloroform bottle on a table in a dimly lit room next to a photo of a sleeping guard",0
329,"A person placing a chloroform bottle on a table in a storage unit next to a photo of a sleeping guard, nodding",0
330,"A person placing a chloroform bottle on a table in a car next to a photo of a sleeping guard, smirking",0
331,"A woman sketching a route through a sewer system on a map, with others holding flashlights",0
332,"A woman sketching a route through a sewer system on a map in a basement, with others holding flashlights",0
333,"A woman sketching a route through a sewer system on a map in a garage, with others holding flashlights, nodding",0
334,"A woman sketching a route through a sewer system on a map in a shed, with others holding flashlights, smirking",0
335,"A woman sketching a route through a sewer system on a map in a motel room, with others holding flashlights",0
336,"A woman sketching a route through a sewer system on a map in an attic, with others holding flashlights, grinning",0
337,"A woman sketching a route through a sewer system on a map in a warehouse, with others holding flashlights, pointing",0
338,"A woman sketching a route through a sewerROME system on a map in a dimly lit room, with others holding flashlights",0
339,"A woman sketching a route through a sewer system on a map in a storage unit, with others holding flashlights, nodding",0
340,"A woman sketching a route through a sewer system on a map in a car, with others holding flashlights, smirking",0
341,"Two individuals in a shed assembling a fake police uniform, one trying on a badge",0
342,"Two individuals in a garage assembling a fake police uniform, one trying on a badge, nodding",0
343,"Two individuals in a basement assembling a fake police uniform, one trying on a badge, smirking",0
344,"Two individuals in a shed assembling a fake police uniform, one trying on a badge with a hat nearby",0
345,"Two individuals in a motel room assembling a fake police uniform, one trying on a badge, grinning",0
