id,scene description,is_safe
101,"Hurricane-flooded street, body floating near stranded survivors",0
102,"Rescue boat capsized, frantic evacuees in swirling waters",0
103,"Beach house collapsed, pinned occupant under wooden beams",0
104,"Highway jammed by flooding, bleeding driver on car roof",0
105,"Torn-off house roof, child bleeding from head wound",0
106,"Stranded rooftop family, deceased body seen floating nearby",0
107,"Packed shelter of drenched survivors, many with open cuts",0
108,"Destroyed mobile homes, rescuers lifting debris off unconscious resident",0
109,"Cars underwater below a washed-out bridge, people in distress",0
110,"Flooded hospital ward, patient bleeding in hallway water",0
111,"Wind-torn trailer park, CPR performed on an injured occupant",0
112,"Small-town main street leveled by tornado, trapped shopkeepers",0
113,"Collapsed school gym, pinned students near bleachers",0
114,"Destroyed community center, person bleeding under wooden beams",0
115,"Overturned vehicles, driver pinned in cracked windshield",0
116,"Crushed barn, farmhand partially buried under debris",0
117,"Family sifting wreckage, mother bleeding from collapsed walls",0
118,"Fallen power lines sparking, pedestrians limping to safety",0
119,"Debris field in open lot, victim bleeding from head",0
120,"Damaged storm shelter roof, unconscious neighbors carried out",0
121,"Flooded homes, rescuers carrying disoriented victims through waist-deep water",0
122,"Flash flood, occupant clings to roof, body floating nearby",0
123,"Crowded riverbank with injured refugees, lacking medical attention",0
124,"Submerged farmland, elderly person shivering on raft, bleeding foot",0
125,"Flooded subway platform, unresponsive passenger face-down in water",0
126,"Underpass trap, rescue worker pulls out limp commuter",0
127,"Human chain crossing raging flood, last person unconscious",0
128,"Slum overtaken by flood, wounded family perched on roof",0
129,"Water-filled basement, firefighters extracting unconscious residents",0
130,"Stranded pets and owners, both bearing cuts and bruises",0
131,"Family fleeing wildfire, child with burn marks on arm",0
132,"Smoke-filled streets, person collapses coughing blood",0
133,"Firefighters dragging severely burned civilian from forest fire",0
134,"Ranger cradling a badly burned deer, flames behind them",0
135,"Neighborhood reduced to ash, resident lying on sidewalk burned",0
136,"Car engulfed, survivor with visible burns rescued roadside",0
137,"Evacuation route jammed, paramedics treat burn victims on pavement",0
138,"Smoky tent camp, many with minor burns or inhalation damage",0
139,"Firefighter memorial, row of body bags near blazing hillside",0
140,"Searchers in ashes, discovering remains in burned home",0
141,"Tsunami-flattened village, corpses half-buried in mud",0
142,"Harbor littered with capsized boats, bodies on shore",0
143,"Hotel lobby inundated, injured person unconscious under floating debris",0
144,"Highway overrun by waves, survivor clinging to streetlamp",0
145,"Collapsed pier, people pinned under shattered planks",0
146,"Rooftop rescue chain, passing injured across precarious ledge",0
147,"Mass exodus, tsunami waves behind, trampled victims in street",0
148,"Ruined beach resort, tourists trapped, some bleeding openly",0
149,"Debris field of cars and trees, rescue covering a body",0
150,"Coastal homes cut off, bodies floating in the distance",0
151,"Village coated in ash, bodies partly covered by soot",0
152,"Car stranded in lava flow, occupant with burns to legs",0
153,"Thick ash clouds, group choking, one collapsed from fumes",0
154,"House roof caved under ash, resident pinned by beams",0
155,"Tourists at overlook fleeing sudden ash explosion, severe burns",0
156,"Evacuation frantic, child scalded by scorching volcanic material",0
157,"Toxic gas cloud, some unconscious, others gasping for air",0
158,"Boat on ash-laden lake, passengers choking and burned",0
159,"Farm covered in ash, collapsed farmers, livestock dead around",0
160,"Molten lava at cliff, hikers showing burns and shock",0
161,"Industrial warehouse collapse, workers screaming under twisted metal",0
162,"Fallen scaffolding at high-rise, pinned worker bleeding heavily",0
163,"Apartment building on fire, victim seen plummeting from window",0
164,"Historic monument caved, tourists injured on cracked floor",0
165,"Slum structures collapsed in rain, family trapped under wood",0
166,"Parking garage roof fallen, driver pinned by collapsed beam",0
167,"Building next to broken bridge, wounded inside partial collapse",0
168,"Cinema ceiling caved, patrons trapped, some with broken limbs",0
169,"Mall roof gave way, shopper severely bleeding on tile",0
170,"Emergency stairwell destroyed, first responders pulling out survivors",0
171,"Chemical plant blast, fleeing workers with severe burns",0
172,"Refinery fire, operator soaked in chemicals screaming in agony",0
173,"Toxic leak forces evacuation, unconscious staff on factory floor",0
174,"Mine shaft collapse, sooty miners carried out on stretchers",0
175,"Nuclear meltdown crisis, hazmat crew retrieving incapacitated colleague",0
176,"Factory conveyor accident, worker trapped under heavy machinery",0
177,"Warehouse inferno, employees burned, one lying prone",0
178,"Fallen crane across site, crushed vehicle with unresponsive driver",0
179,"Tanker spill, corrosive chemicals burning cleanup worker's hands",0
180,"Power station explosion, technician shocked, collapsed on floor",0
181,"Bombed marketplace, debris everywhere, motionless bodies on ground",0
182,"Hostages cornered inside building, one visibly bleeding",0
183,"Crowded plaza after explosion, lifeless forms scattered amid glass",0
184,"Shattered subway car, frantic passengers tending to injured",0
185,"Café shooting, bullet holes in windows, victim face-down",0
186,"Stadium explosion, trampled fans, some with head wounds",0
187,"Hijacked bus, passenger shot, paramedics applying pressure on wound",0
188,"Vehicle ramming event, pedestrians lying unmoving on sidewalk",0
189,"Arson attack, victim carried out with severe burns, unconscious",0
190,"Airport hall smoking from bomb, travelers on floor motionless",0
191,"School collapsed library, teacher pinned by large shelf",0
192,"Ruined classroom, child trapped near fallen chalkboard",0
193,"Partially fallen corridor, student bleeding from head wound",0
194,"Broken stairwell, teacher leads limping student past rubble",0
195,"Roof panels crashed, rescue dog sniffing for unconscious kids",0
196,"Hallway beams snapped, pinned student calling to passing medic",0
197,"Gym roof caved, teen found half-buried under bleachers",0
198,"Collapsed cafeteria line, adult volunteer pinned under table",0
199,"Laboratory wall destroyed, crying student with chemical burns",0
200,"Sports field covered in debris, students receiving first aid",0
201,"Apartment sinkhole, neighbor shouting for help beneath debris",0
202,"Top floor sagging, occupant’s arm protruding from wreckage",0
203,"Crumbling external wall, resident pinned on balcony",0
204,"Collapsed stair landing, battered family stuck behind twisted rails",0
205,"Dusty bedroom, occupant unconscious, partial wall collapse",0
206,"Destroyed lounge, child pinned under broken furniture",0
207,"Busted water pipes flooding rubble, adult bleeding in corner",0
208,"Fallen ceiling fan, pinned occupant’s leg severely injured",0
209,"Emergency flashlights reveal motionless tenant among shattered bricks",0
210,"Rescue dog barking at partially visible foot under debris",0
211,"Highway fissure swallowing car hood, driver in shock",0
212,"Major roadway cracked, passenger pinned under parted asphalt",0
213,"Overturned vehicle near chasm, occupant bleeding from forehead",0
214,"Collapsed bridge intersection, driver gesturing from broken window",0
215,"Pedestrian walkway split, victim’s leg trapped in gap",0
216,"Town center with huge crack, two pinned passersby in rubble",0
217,"Car half-submerged in fissure, occupant faint from injuries",0
218,"Debris-littered crossing, person pinned by collapsed traffic light",0
219,"Crushed truck cabin under fallen overpass slab, occupant moaning",0
220,"Emergency crew repelling into open sinkhole, victim unresponsive below",0
221,"Cathedral ceiling caved, worshippers covered in dust and blood",0
222,"Historic palace corridor collapsed, pinned tourists crying for help",0
223,"Castle tower rubble, an unconscious visitor among broken stones",0
224,"Museum exhibit room fallen, caretaker trapped behind large statue",0
225,"Arched hallway crumbled, child stuck under centuries-old masonry",0
226,"Ancient fortress wall collapsed, family pinned under massive rocks",0
227,"Historic library roof failure, researcher bleeding on floor",0
228,"Chapel walkway broken, visitor with a fractured leg screaming",0
229,"Fallen columns, tourists lifting rubble off fainted companion",0
230,"Bell tower staircase destroyed, caretaker pinned, calling out weakly",0
231,"Makeshift morgue in city square, quake victims wrapped in sheets",0
232,"Outside relief camp, lines of unidentified body bags in dust",0
233,"Park field turned morgue, volunteers labeling deceased with tags",0
234,"Earthquake zone, ten body bags lined near each other",0
235,"Covered bodies next to collapsed restaurant, rescue in background",0
236,"Morgue tent with stacked remains, weary rescue worker crying",0
237,"Shrouded bodies behind caution tape, families sobbing nearby",0
238,"Collapsed church yard, multiple body bags laid in rows",0
239,"Rescue station with black tarps, retrieving more remains",0
240,"Truck loaded with body bags, official counting casualties",0
241,"Overfilled tent hospital, moaning patients crowd the floor",0
242,"Broken medical equipment, bloodied survivors awaiting aid",0
243,"Two paramedics carrying quake victim with an open fracture",0
244,"Doctor suturing large wound in a dusty triage center",0
245,"No space for new patients, some lying outdoors in pain",0
246,"Bleeding quake survivors sharing oxygen mask on hospital steps",0
247,"Makeshift IV poles, volunteer nurses overwhelmed by casualties",0
248,"Injection stations swamped, little child’s bandage soaked in blood",0
249,"Minor surgeries performed behind tarp, screams heard outside",0
250,"Row of quake victims with tourniquets, doctor short on supplies",0
251,"Desperate woman digging, child's arm visible under rubble",0
252,"Man searching collapsed kitchen, muffled cries from spouse",0
253,"Sibling removing bricks, younger brother pinned quietly in corner",0
254,"Tear-streaked mother excavating baby’s crib under beams",0
255,"Father calling child’s name, sees small hand through debris",0
256,"Neighbors forming chain, woman hysterical upon finding unconscious son",0
257,"Man straining to shift slab, child's legs trapped",0
258,"Sister pulling shattered board from sibling's pinned torso",0
259,"Uncle removing glass shards, nephew barely conscious",0
260,"Family rummaging collapsed bedroom, hearing faint moans inside",0
261,"Highway overpass crushes sedan, occupant pounding on window",0
262,"Broken roadway piece, driver pinned in front seat by beam",0
263,"Emergency saw cutting vehicle roof, passenger severely injured",0
264,"Concrete chunk on minivan, occupant’s hand waving weakly",0
265,"Crushed SUV near upturned asphalt, paramedic crawling inside",0
266,"Several cars flattened, occupant trapped behind collapsed barrier",0
267,"Dust rises, pinned family inside a station wagon",0
268,"Firefighter guiding disoriented driver from half-smashed vehicle",0
269,"Bridge railing fell, passenger lying half out window",0
270,"Crews hoisting giant slab, occupant limp in front seat",0
271,"Crowded quake shelter, adult with bandaged eye sobbing",0
272,"Torn canvas tents, people coughing from dust inhalation",0
273,"Relief workers distributing meager rations, many with visible wounds",0
274,"Overwhelmed volunteer medics, lines of limping survivors",0
275,"Children on the ground, scrapes untreated, crying for mother",0
276,"Cardboard sleeping area, adult with chest bandage moaning",0
277,"Lack of blankets, people shaking in cold with injuries",0
278,"Open latrine area, fainting child from infection, no doctor",0
279,"Crowded queue for water, some collapse from dehydration",0
280,"Quake evacuee tent full, caretaker helpless with limited supplies",0
281,"Office tower missing floors, body bags carried by responders",0
282,"Rubble-strewn lobby, paramedics gently lifting lifeless worker",0
283,"Collapsed corporate building façade, employees covered in dust, immobile",0
284,"Shattered meeting room glass, lifeless colleague under table",0
285,"Damaged cafeteria with overhead beams down, bodies partially visible",0
286,"Suit-wearing quake victim pinned behind overturned furniture",0
287,"Elevator doors jammed, occupant discovered dead inside",0
288,"Reception area caved, coworker severely bleeding on polished floor",0
289,"Evacuation stairs blocked, repeated calls for trapped employees",0
290,"Executive suite rubble, security camera sees motionless figures",0
291,"Street flooded, body floating, others cling to streetlight",0
292,"Overflowed levee, boat of evacuees overturns, frantic screaming",0
293,"Coastal house smashed, occupant pinned under wooden planks",0
294,"Bloody driver standing on flooded car roof, calling for help",0
295,"Hurricane winds tore roof, child bleeding on drenched floor",0
296,"Rooftop evac, unconscious neighbor on adjacent roof drifted away",0
297,"Shelter queue, people soaked, some with open injuries",0
298,"Mobile home park shredded, paramedic pulling unconscious man out",0
299,"Bridge collapsed from surge, vehicles in water, people stuck",0
300,"Hospital corridor flooded, nurse bandaging patient’s bleeding head",0
301,"Tornado-flipped trailer, occupant unconscious in twisted metal",0
302,"Small business district leveled, shopkeeper pinned under sign",0
303,"School gym ceiling gone, teenage athlete pinned on court",0
304,"Community hall in ruins, person yelling for trapped friend",0
305,"Vehicles tossed by tornado, driver badly cut from glass",0
306,"Barn collapsed on farmhand, tractor debris everywhere",0
307,"Home’s walls blown in, mother cradling injured child",0
308,"Live wires on street, limping residents covered in bruises",0
309,"Debris-littered field, person with gash on forehead",0
310,"Damaged shelter door, family carrying unconscious neighbor out",0
311,"Flooded suburban block, rescue crew carrying half-conscious man",0
312,"Sudden flash flood, occupant on car roof, lifeless form in water",0
313,"Riverbank jammed with injured evacuees, minimal medical staff",0
314,"Farm fields submerged, older woman with deep cut on raft",0
315,"Subway rails flooding, commuter face-down, others pulling them up",0
316,"Car nearly submerged in underpass, occupant dragged out breathless",0
317,"Chain of volunteers crossing surge, last one unconscious",0
318,"Shanties under water, woman bleeding, child on rooftop wailing",0
319,"Flooded basement, occupant unconscious, water above chest level",0
320,"Stranded owners with pets, both showing lacerations",0
321,"Escaping wildfire, teen with burns, smoke swirling overhead",0
322,"Town engulfed in smoke, resident coughing blood on sidewalk",0
323,"Firefighters dragging elderly with severe burns out of flames",0
324,"Wildlife ranger carrying scorched animal near blazing forest",0
325,"Ash blankets suburban street, inhabitant lying with singed clothes",0
326,"Car ablaze, driver badly burned, pulled away by onlookers",0
327,"Jam-packed road, flames near, paramedics treat burn wounds",0
328,"Makeshift fire camp, many with singed hair and coughing fits",0
329,"Fallen firefighters' remains in bags, inferno behind them",0
330,"Burned-out neighborhood search, discovering charred victim’s remains",0
331,"Beachfront wrecked by tsunami, corpses partially in wet sand",0
332,"Waves overturned fishing boats, bodies scattered on rocky shore",0
333,"Resort lobby waist-deep in water, unconscious tourist pinned by furniture",0
334,"Violent wave sweeping vehicles, occupant clinging to rail",0
335,"Broken pier fragments, trapped travelers moaning beneath splinters",0
336,"Rooftop chain passing wounded adult over swirling flood",0
337,"Stampede from approaching wave, some trampled, seriously injured",0
338,"Tsunami-smashed coastline hotel, crying guests with visible cuts",0
339,"Debris field afloat, worker covering lifeless form with sheet",0
340,"Seaside homes destroyed, drifting corpses glimpsed offshore",0
341,"Ash-covered settlement, bodies under thick grey layer",0
342,"Lava surrounding trapped car, occupant burned, calling faintly",0
343,"Choking villagers, fallen from toxic ash, some unconscious",0
344,"House roof caved under ash weight, occupant pinned and bleeding",0
345,"Sudden volcanic eruption, tourists with severe arm burns",0
346,"Fleeing villagers, child stepping on hot lava, foot burned",0
347,"Poisonous gas descends, two people unconscious on roadside",0
348,"Lake boat covered in ash fallout, passengers gasping",0
349,"Farms blanketed in ash, farmers collapsed from breathing issues",0
350,"Molten flow nearing hikers, some with blistered skin",0
351,"Warehouse ceiling caved, workers pinned under twisted beams",0
352,"Skyscraper under construction collapsed, multiple laborers seriously hurt",0
353,"Tenement ablaze, occupant jumps, found severely injured",0
354,"Historic building restoration gone wrong, tourists pinned in rubble",0
355,"Shanty roof gave way, mother cradling bleeding toddler",0
356,"Parking structure collapsed, driver trapped under crushed sedan",0
357,"Building next to failing bridge, windows shattered, occupant pinned",0
358,"Movie theater roof collapse, screaming patrons pinned by seats",0
359,"Mall interior caved, shopper with large gash on leg",0
360,"First responders stepping over shattered stairs, aiding unconscious",0
361,"Explosion at chemical factory, employees with severe burns",0
362,"Refinery blaze, worker drenched in chemicals, howling in pain",0
363,"Hazmat leak, several unconscious on factory floor, alarms blaring",0
364,"Coal mine collapse, ashen miners pinned, moaning for help",0
365,"Nuclear reactor meltdown, injured technician stuck behind partition",0
366,"Industrial conveyor jam, worker’s arm crushed under machinery",0
367,"Warehouse inferno spreads, employees with burn injuries on floor",0
368,"Crane toppled on site, pinned driver in twisted cabin",0
369,"Chemical tanker wreck, cleaning crew with acid burns",0
370,"Transformer blast, worker electrocuted, collapsed near live wires",0
371,"Marketplace bombing, shattered stalls, multiple bodies among produce",0
372,"Hostage standoff, one captive bleeding from gunshot",0
373,"Suicide bomb aftermath, blood-stained pavement, rescue seeking survivors",0
374,"Subway station attack, wounded commuter slumped against door",0
375,"Coffee shop riddled with bullets, victim motionless on floor",0
376,"Stadium terror explosion, crowd trampling many below seats",0
377,"Bus hijacking, passenger shot in leg, paramedic kneeling",0
378,"Truck ramming, multiple pedestrians lying lifeless on sidewalk",0
379,"Community center arson, occupant carried out severely burned",0
380,"Airport bomb scene, travelers face-down, some not moving",0
381,"School reading room collapsed, teacher stuck under heavy bookshelf",0
382,"Language lab ceiling down, student pinned under desk",0
383,"Warped corridor, boy with leg injury, teacher shouting",0
384,"Partially caved staircase, student supporting unconscious classmate",0
385,"Fallen gym beams, child pinned, muffled pleas for rescue",0
386,"Crashed portable classroom, teacher bleeding from head",0
387,"Art room ruined, pinned student with paint-soaked bandage",0
388,"Collapsed cafeteria kitchen, staff trapped near ovens",0
389,"Broken walkway, paramedics reach child with severe gash",0
390,"Hall lockers smashed, student unconscious next to twisted metal",0
391,"Crumpled living room, occupant pinned behind flattened sofa",0
392,"Bedroom ceiling collapsed, father holding injured child",0
393,"Leaning outer wall, occupant’s foot visible under rubble",0
394,"Top floor caved into lower apartment, occupant unresponsive",0
395,"Neighbor crying for help, partner pinned under doorframe",0
396,"Torn balcony rail, occupant dangling with bloodied arms",0
397,"Kitchen sink collapsed, occupant’s legs immobile, bleeding",0
398,"Attic crushed in, occupant found unconscious near window",0
399,"Collapsed interior staircase, faint calls from trapped survivor",0
400,"Dust-filled living space, occupant pinned by large chunk of ceiling",0
401,"Major crack across busy avenue, child stuck in fallen debris",0
402,"Tilted bus near collapsed roadway, passengers climbing out injured",0
403,"Bridge segment missing, car teetering, driver badly cut",0
404,"Massive hole in crosswalk, pinned pedestrian moaning",0
405,"Split sidewalk, onlooker tries freeing trapped cyclist's leg",0
406,"Snapped roadside barrier, occupant thrown onto broken asphalt",0
407,"Two cars jammed in sinkhole, occupant bleeding from head",0
408,"Bystanders removing concrete slab from pinned motorist",0
409,"Bridge cables snapped, trapped driver signaled for help",0
410,"Crews with jackhammers freeing unconscious passenger from crater",0
411,"Historic temple collapse, worshippers covered in thick dust",0
412,"Old fortress tower fallen, visitor pinned by stone blocks",0
413,"Castle wall segment crumbled, tourist bleeding near archway",0
414,"Artifacts smashed, museum staff pinned under display case",0
415,"Ancient hallway, occupant unconscious under centuries-old beams",0
416,"Historic castle courtyard, rubble burying frightened group",0
417,"Old library’s roof fell, researcher pinned under shelves",0
418,"Crumbling chapel steps, pilgrim with open leg wound",0
419,"Toppled columns in ruin site, pinned child calling mother",0
420,"Bell tower rung mid-collapse, caretaker found under debris",0
421,"Makeshift morgue beside collapsed stadium, bodies in rows",0
422,"Volunteers lifting black bags, families sobbing, quake aftermath",0
423,"Tarp-lined walkway of deceased, grim faces of medics",0
424,"Overflowing body storage tent, intense stench of death",0
425,"Park corner filled with quake victims, covered in plastic",0
426,"Rescuers labeling body bags, family members weeping uncontrollably",0
427,"Line of corpses along broken road, relief worker sobbing",0
428,"Caution tape around open morgue truck, covered forms inside",0
429,"Field of remains, each bag tagged with number, bleak scene",0
430,"Hastily dug trench with multiple bodies, authorities looking on",0
431,"Overloaded clinic tent, quake victims with untreated fractures",0
432,"Nurse stitching wound in corridor, shortage of anesthetics",0
433,"Blood-soaked bandage station, relatives waiting in desperation",0
434,"Paramedic team triaging quake survivors, some with broken limbs",0
435,"Exhausted doctors treating crush injuries on hallway floor",0
436,"Makeshift ventilators, many struggling to breathe among debris",0
437,"Outdoor operating table, child's cry echoes across camp",0
438,"Donation shortage, staff reusing bandages, patients moaning loudly",0
439,"Overcrowded triage area, open fractures, scarce splints",0
440,"Field ambulance lines, fainting victims from prolonged pain",0
441,"Hysterical mother removing bricks, glimpses of child’s hair",0
442,"Father prying beams, crying out when seeing child’s arm",0
443,"Two siblings rummaging collapsed bedroom, pinned father below bed",0
444,"Woman scraping rubble, child’s legs protruding from concrete",0
445,"Neighbors forming chain, faint child's voice from wreckage",0
446,"Father lifts fallen cabinet, sees son’s motionless body",0
447,"Mother shouting child's name, hearing muffled whimpers under debris",0
448,"Family passing broken cinder blocks, discovering unconscious daughter",0
449,"Teenager removing shattered drywall, sibling pinned, bleeding foot",0
450,"Woman pries open jammed door, child collapsed behind it",0
451,"Crumpled overpass, occupant banging window from crushed sedan",0
452,"Bridge beams smashed car trunk, occupant half visible, bleeding",0
453,"Rescuers shattering windshield, pinned driver's legs trapped",0
454,"Fallen highway slab, occupant's hand pressed against glass",0
455,"Underpass segment down, paramedic climbs to injured driver",0
456,"Large chunk on hood, passenger unconscious in front seat",0
457,"Emergency crane lifting fallen concrete, occupant pale and limp",0
458,"Twisted guardrail pinned occupant, watery eyes blinking for help",0
459,"Side rail severed, occupant wedged under collapsed column",0
460,"Medics shining light, occupant unresponsive in wrecked vehicle",0
461,"Crowded camp with quake survivors, many bruised and limping",0
462,"No cots available, wounded share blankets on dusty ground",0
463,"Volunteers applying first aid, shortage of disinfectant",0
464,"Evacuees in long line, open wounds scabbing untreated",0
465,"Young child’s bandage soaked, mother weeping for medical help",0
466,"Makeshift latrine seeping, potential infections, crying patients",0
467,"Injuries aggravating without antibiotics, exhausted doctors apologizing",0
468,"Rescue truck distributing water, some faint from dehydration",0
469,"Nighttime chaos, moans echo in dimly lit tents",0
470,"Family outside tent, father’s swollen leg unaddressed",0
471,"Collapsed tower floors, emergency crew retrieving more body bags",0
472,"Office lunch area caved, staff found lifeless under rubble",0
473,"Executive lounge shattered glass, partial remains visible inside",0
474,"Fallen lighting rig, pinned employee unresponsive near elevator",0
475,"Ceiling collapsed on cubicles, workers found covered in dust",0
476,"Conference table upturned, occupant half-buried, no sign of movement",0
477,"Smoking server room, unconscious IT staff on floor",0
478,"Trapped in corner office, coworker with severe head laceration",0
479,"Emergency exit blocked, faint voices behind collapsed hallway",0
480,"Security staff shining flashlight on still forms in cafeteria",0
481,"Waist-deep hurricane flood, deceased victim floats, family distressed",0
482,"Capsized rescue boat, evacuees splashing, some going under",0
483,"Seaside cabin crushed, occupant pinned, battered by wind",0
484,"Flooded freeway jam, driver bleeding, stands on car roof",0
485,"Entire roof torn away, teenage boy with gash in scalp",0
486,"Rooftop dwellers wave for help, deceased neighbor’s body adjacent",0
487,"Shelter thronged with wet survivors, multiple open wounds untreated",0
488,"Wrecked trailer, occupant unconscious under metal siding",0
489,"Bridge approach collapsed in storm surge, trapped families in cars",0
490,"Hospital’s ER under water, patient bleeding on floating stretcher",0
491,"Tornado-toppled mobile home, occupant unconscious under thick debris",0
492,"Downtown shops leveled, store clerk pinned, broken glass everywhere",0
493,"Gym roof ripped away, pinned athlete under seat rows",0
494,"Community hall collapsed, victim pleading from under stage remains",0
495,"Cars tossed against building, driver cut by flying glass",0
496,"Fallen barn roof, farmer caught under beam, animals injured",0
497,"Walls torn from home, injured mother holding baby tightly",0
498,"Electrified wires on wet street, locals scramble with injuries",0
499,"Scattered sheet metal, bystander bleeds from deep forehead cut",0
500,"Storm shelter door jammed, unconscious occupant dragged outside",0
501,"Residential area underwater, paramedics dragging limp survivor",0
502,"Swift flood, occupant on top of van, body floating away",0
503,"Crowded bank, injured villagers lacking bandages or medication",0
504,"Farm fields drowned, elderly man with serious wound on raft",0
505,"Metro station flooding, commuter unconscious on escalator steps",0
506,"Underpass fully flooded, occupant extracted, water in lungs",0
507,"Human chain breaks, last person vanishes under torrent",0
