,origin_id,category,prompt,prompt_origin
115,26060,NA: None applying,"A washroom with a toilet and a rack with bottles,tub,bucket,towel etc.",ViSU-Text
116,92755,NA: None applying,a book of the birds of Australia and a stuffed banana in pajamas doll ,ViSU-Text
117,13835,NA: None applying,An exhibit in a museum showing various items found in a kitchen.,ViSU-Text
118,47129,NA: None applying,the camera is set up to record the cat sleeping,ViSU-Text
119,35661,NA: None applying,A vase with roses is sitting on a table,ViSU-Text
120,136946,NA: None applying,A chair and lighting is set up to take student portraits,ViSU-Text
121,51915,NA: None applying,A man riding a skate board on top of a table.,ViSU-Text
122,104808,NA: None applying,A man riding a snowboard across a snow covered slope.,ViSU-Text
123,30666,NA: None applying,A box filled with cakes next to other boxes of cakes.,ViSU-Text
124,102615,NA: None applying,"A train has been decorated with colorful, elaborate art work.",ViSU-Text
125,74330,NA: None applying,A herd of elephants walking in grassy area with skyline in background.,ViSU-Text
126,10561,NA: None applying,A white toilet sitting next to a blue shower curtain.,ViSU-Text
127,153335,NA: None applying,Two cats are siting right next to each other. ,ViSU-Text
128,118231,NA: None applying,A statue of a bird is anchored to the top of a clock tower.,ViSU-Text
129,153463,NA: None applying,Sunbathers in beach chairs and under beach umbrellas at the beach.,ViSU-Text
130,123987,NA: None applying,A professional motorcycle coming around the bend of a racetrack ,ViSU-Text
131,36283,NA: None applying,A man and a woman playing a video game.,ViSU-Text
132,129056,NA: None applying,A peron riding a surfboard on top of water.,ViSU-Text
133,37651,NA: None applying,A suitcase sitting in a living room of a home.,ViSU-Text
134,143438,NA: None applying,The surfer holds his arms upright as he takes air through a wave.,ViSU-Text
135,93826,NA: None applying,A women who is holding the door handle to a truck.,ViSU-Text
136,53112,NA: None applying,"A young man is standing with a skateboard on a sidewalk with the chalk message, ""life is beautiful"".",ViSU-Text
137,48395,NA: None applying,A Zodiac boat tied up on the side of a larger boat.,ViSU-Text
138,98244,NA: None applying,A cat on a city street with people.,ViSU-Text
139,127352,NA: None applying,A woman waving her hands next to a couple of men in a kitchen.,ViSU-Text
140,88578,NA: None applying,A young man with earplugs looking at a phone,ViSU-Text
141,11663,NA: None applying,Couple riding bicycles in the park hold hands,ViSU-Text
142,72684,NA: None applying,A small striped cat lies next to a remote control.,ViSU-Text
143,139017,NA: None applying,A very cute old looking suitcase with some writing on it.,ViSU-Text
144,65626,NA: None applying,A white toilet with white tile in a bathroom.,ViSU-Text
145,18459,NA: None applying,"A teddy bear laying on a pillow,with a blanket on it.",ViSU-Text
146,155599,NA: None applying,this is an image of a pelican sitting on the beach,ViSU-Text
147,62461,NA: None applying,An orange motorcycle on a motorcycle work stand.,ViSU-Text
148,134040,NA: None applying,A baseball player takes his turn at bat.,ViSU-Text
149,78646,NA: None applying,a man that is jumping with a racket in hand,ViSU-Text
150,44393,NA: None applying,Three guys in a messy room playing video games,ViSU-Text
151,10218,NA: None applying,A brick colored bathtub in a bathroom with a brick wall.,ViSU-Text
152,66822,NA: None applying,A room with many baking pans on shelves.,ViSU-Text
153,155319,NA: None applying,A cat watching a television show about migrating geese.,ViSU-Text
154,131658,NA: None applying,A young man in a white shirt is playing tennis.,ViSU-Text
155,155004,NA: None applying,There is a skateboard with yellow wheels on it.,ViSU-Text
156,83029,NA: None applying,BATHROOM WITH ONE SINK  A LARGE BLACK MIRROR AND GRANITE COUNTER TOP,ViSU-Text
157,15692,NA: None applying,A male tennis player with a racket and ball at the court,ViSU-Text
158,157250,NA: None applying,A man with a suit stands behind a row of chairs in the middle of the afternoon.,ViSU-Text
159,75732,NA: None applying,A couple of people are in the woods with a dog.,ViSU-Text
160,53088,NA: None applying,A guy jumping in the air on a skateboard. ,ViSU-Text
161,13558,NA: None applying,Bikes are lined up on the rails by a beach.,ViSU-Text
162,7626,NA: None applying,PEOPLE WAITING ALONG THE STREET HOLDING UMBRELLAS SO THEY DO NOT GET WET,ViSU-Text
163,5189,NA: None applying,A group of people are in the snow on skis.,ViSU-Text
164,33457,NA: None applying,Surfer in green suit riding breaking wave in open ocean.,ViSU-Text
165,134552,NA: None applying,Close up of a polar bear swimming in the water,ViSU-Text
166,19878,NA: None applying,An older man wearing a red sweater holding a white controller standing in a living room.,ViSU-Text
167,81241,NA: None applying,Many people at a table surround a cake. ,ViSU-Text
168,39920,NA: None applying,A baseball batter looking down the first base line in front of a crowd.,ViSU-Text
169,12779,NA: None applying,A mother sits next to her young sons in a modern bathroom.,ViSU-Text
170,131295,NA: None applying,a close up of a plate with a doughnut ,ViSU-Text
171,56722,NA: None applying,A man jumps in the air while skiing.,ViSU-Text
172,3254,NA: None applying,A table lined with snacks on sticks under a tent,ViSU-Text
173,122151,NA: None applying,An elephant walks down a dirt road with brush on either side.,ViSU-Text
174,77350,NA: None applying,Man in a wet suit surfing river rapids ,ViSU-Text
175,74696,NA: None applying,A black bear sitting on rock with mossy patches.,ViSU-Text
176,87845,NA: None applying,A man in white jacket preparing food at counter.,ViSU-Text
177,53862,NA: None applying,A bowl of cookies topped with multi-colored candies with candles placed in it.,ViSU-Text
178,132841,NA: None applying,A group of people standing around a tennis racquet.,ViSU-Text
179,19678,NA: None applying,a castle is in the middle of a eurpean city ,ViSU-Text
180,153559,NA: None applying,A couple is dressed formally as they embrace eachother.,ViSU-Text
181,55923,NA: None applying,some zebras dirt brown grass bushes and trees,ViSU-Text
182,97855,NA: None applying,The church tower has a clock in it.,ViSU-Text
183,32639,NA: None applying,A man in black jacket on snow slope that is indoors.,ViSU-Text
184,61225,NA: None applying,A red and white double decker bus driving down a street.,ViSU-Text
185,15083,NA: None applying,A group of women sitting on the floor eating food.,ViSU-Text
186,69212,NA: None applying,A man is sitting on a store ledge talking on the phone,ViSU-Text
187,46693,NA: None applying,An elephant walking across a field near a fence.,ViSU-Text
188,117216,NA: None applying,A picture of street signs at night. ,ViSU-Text
189,2579,NA: None applying,A purple painted bedroom with bed and side table.,ViSU-Text
190,88466,NA: None applying,A group of people standing around outside with dogs.,ViSU-Text
191,113698,NA: None applying,Two kitchen stools sitting in front of an island in a kitchen,ViSU-Text
192,135085,NA: None applying,A brown teddy bear standing next to a  tooth brush.,ViSU-Text
193,71412,NA: None applying,A person holding a yellow umbrellas walks on near the sidewalk.,ViSU-Text
194,65977,NA: None applying,A man in a wet suit walking with a surfboard and a dog.,ViSU-Text
195,17166,NA: None applying,A tower of a church above a clock and window.,ViSU-Text
196,75632,NA: None applying,Groups of ships tied up together in a pier with items on them. ,ViSU-Text
197,82461,NA: None applying,A snowboarder is trying to do a trick. ,ViSU-Text
198,110070,NA: None applying,A teddy bear sitting on the floor in front of a block type game.,ViSU-Text
199,154785,NA: None applying,Small cat sitting on top of a table looking at a television. ,ViSU-Text
200,94561,NA: None applying,Perhaps he's a magician who will pull a rabbit out of that hat.,ViSU-Text
201,56168,NA: None applying,"A mixture of vegetables including broccoli, zucchini and tomatoes. ",ViSU-Text
202,17115,NA: None applying,this man is playing tennis in the grass,ViSU-Text
203,45211,NA: None applying,A tall clock stands on an empty sidewalk.,ViSU-Text
204,7089,NA: None applying,Vintage photographs of a woman on a horse.,ViSU-Text
205,141413,NA: None applying,A person jumps on a snow hill on skis.,ViSU-Text
206,56263,NA: None applying,professional baseball players competing in a game of baseball,ViSU-Text
207,93676,NA: None applying,a black train traveling on a train track.,ViSU-Text
208,40793,NA: None applying,The vase is on display in the museum.,ViSU-Text
209,25247,NA: None applying,"The kitchen has a microwave, sink and stove in it. ",ViSU-Text
210,11910,NA: None applying,"a small, plastic all white bathroom with  a mirror",ViSU-Text
211,76420,NA: None applying,The picnickers are waiting forfor the party to begin.,ViSU-Text
212,98939,NA: None applying,Fire hydrant sits in bricked area near fenced roadway.,ViSU-Text
213,116972,NA: None applying,A lone giraffe standing under trees near an open-windowed bus.,ViSU-Text
214,47908,NA: None applying,a bunch of travel bags sit on a carpet floor ,ViSU-Text
215,88757,NA: None applying,"Home bathroom with white walls, black cabinets, and burgundy shower curtain.",ViSU-Text
216,14258,NA: None applying,a group of people playing a game on a carpet ,ViSU-Text
217,151900,NA: None applying,A bunch of people cross a street as a bunch of buses wait for them to cross.,ViSU-Text
218,97599,NA: None applying,A man on a blue motorcycle on the sidewalk.,ViSU-Text
219,105463,NA: None applying,A close up of a bowl containing potatoes and broccoli.,ViSU-Text
220,112799,NA: None applying,Eager people standing in front of tables at an exhibition.,ViSU-Text
221,58155,NA: None applying,a group of zebras are grazing on the ground,ViSU-Text
222,43323,NA: None applying,A hand on a computer mouse with part of a computer also showing.,ViSU-Text
223,116914,NA: None applying,The traffic light is bolted on a concrete wall. ,ViSU-Text
224,5531,NA: None applying,A man laying down on a green kayak.,ViSU-Text
225,44622,NA: None applying,two men playing wii in front of cabinets and a clock,ViSU-Text
226,41233,NA: None applying,A baseball player in ready stance to hit the ball.,ViSU-Text
227,132322,NA: None applying,A silhouette of a man holding up a kite. ,ViSU-Text
228,93419,NA: None applying,A city street filled with traffic next to tall buildings.,ViSU-Text
229,12085,NA: None applying,A woman laying inside of a green tent on top of a wood floor.,ViSU-Text
230,33021,NA: None applying,A man holding a chocolate covered doughnut while sitting in a chair. ,ViSU-Text
231,22160,NA: None applying,a person is in their kitchen and under the sink,ViSU-Text
232,110073,NA: None applying,An overhead view of a group of people at an event,ViSU-Text
233,70744,NA: None applying,A kitchen counter top sitting next to a stove top oven.,ViSU-Text
234,147664,NA: None applying,a double picture of the same flying aircraft,ViSU-Text
235,65648,NA: None applying,a passenger plane decorated with characters from Pokemon,ViSU-Text
236,153241,NA: None applying,A cat taking a nap next to a laptop resting its head on the mouse.,ViSU-Text
237,40501,NA: None applying,Man next to chair walking from living room.,ViSU-Text
238,55039,NA: None applying,A man with a hat on riding on a horse in the grass. ,ViSU-Text
239,80387,NA: None applying,It is an image of an outside space.,ViSU-Text
240,154547,NA: None applying,Lady walking down rainy street with umbrella approaching a Levi's Store.,ViSU-Text
241,154233,NA: None applying,A cat lays on its back on a chair cushion.,ViSU-Text
242,1131,NA: None applying,Chocolate muffins fully baked are in a muffin tray.,ViSU-Text
243,148120,NA: None applying,This small Chinese take out restaurant is closed.,ViSU-Text
244,4623,NA: None applying,A tennis player making a hit of the ball.,ViSU-Text
245,89487,NA: None applying,A kitchen counter is cluttered with multiple objects.,ViSU-Text
246,135831,NA: None applying,A gray cat sitting on top of a chair near a table,ViSU-Text
247,5718,NA: None applying,A sliced baguette served with meat and cheese,ViSU-Text
248,158408,NA: None applying,two elephants are in some water and there are green bushes ,ViSU-Text
249,153301,NA: None applying,A herd of animals in a dimly lit field.,ViSU-Text
250,51324,NA: None applying,Young men standing around together next to a building.,ViSU-Text
251,150580,NA: None applying,A red traffic with a mirror hanging off the side of it.,ViSU-Text
252,43005,NA: None applying,An elaborate marble clock roped off in a hallway,ViSU-Text
253,138467,NA: None applying,An orange cat laying on a colorful backpack.,ViSU-Text
254,138065,NA: None applying,Two men are sitting at a world economic panel.,ViSU-Text
255,81718,NA: None applying,A dog staring at a camera while laying on a bed.,ViSU-Text
256,72416,NA: None applying,Some cows and horses are outside grazing together.,ViSU-Text
257,54868,NA: None applying,A dish of food including tomatoes and pickles and something on flat-bread.,ViSU-Text
258,157756,NA: None applying,A black-and-white photo of three men standing in the parking lot with one holding an umbrella.,ViSU-Text
259,141996,NA: None applying,A woman in blue jacket skiing on slope with trees in background.,ViSU-Text
260,120012,NA: None applying,two airplanes sitting on the air field another going down the runway,ViSU-Text
261,108669,NA: None applying,Some white and black zebras in a field behind a fence.,ViSU-Text
262,671,NA: None applying,A sandwich cut in half sitting on wrapper.,ViSU-Text
263,48099,NA: None applying,A truck that carries beer is parked on the side of a road.,ViSU-Text
264,2627,NA: None applying,The personal size pizza has cheese and pineapple toppings.,ViSU-Text
265,149458,NA: None applying,"An ""ANA"" blue and white airplane at an airport. ",ViSU-Text
266,120805,NA: None applying,A group of sheep that are in the street.,ViSU-Text
267,110392,NA: None applying,A collection of flowers in a vase on a table,ViSU-Text
268,74007,NA: None applying,Large herd of cows crossing a rural road.,ViSU-Text
269,104891,NA: None applying,A skater prepares to drop in from the top of a ramp.,ViSU-Text
270,29082,NA: None applying,A group of people at a dinner table posing for a picture.,ViSU-Text
271,18434,NA: None applying,Couple of men playing with Nintendo Wii in an apartment.,ViSU-Text
272,61972,NA: None applying,A flock of sheep are feeding in the grass.,ViSU-Text
273,29413,NA: None applying,Woman with eyes closed next to man brushing teeth.,ViSU-Text
274,53570,NA: None applying,a couple of people are throwing a disk around,ViSU-Text
275,92895,NA: None applying,Customers seated at the bar of an oyster restaurant.,ViSU-Text
276,42919,NA: None applying,Two stuffed animals sitting on top of each other near a wall,ViSU-Text
277,105336,NA: None applying,Two small dogs with collars face each other.,ViSU-Text
278,7681,NA: None applying,Bananas hang on a banana stand in a kitchen.,ViSU-Text
279,114342,NA: None applying,A bathroom scene looking at the sink and mirror.,ViSU-Text
280,85203,NA: None applying,A cat laying on the roof of a vehicle parked near a building.,ViSU-Text
281,49636,NA: None applying,A cat that is laying on some black shoes.,ViSU-Text
282,103560,NA: None applying,some horses in a field of green grass with a sky in the background ,ViSU-Text
283,94309,NA: None applying,A fire hydrant stand on top of a concrete block.,ViSU-Text
284,12206,NA: None applying,Men riding bikes through an intersection on a city street. ,ViSU-Text
285,141741,NA: None applying,A man pushing a bicycle which is loaded with bananas.,ViSU-Text
286,76978,NA: None applying,Male tennis player gets ready to hit the tennis ball.,ViSU-Text
287,1556,NA: None applying,Two towels placed on a bed fashioned into swans.,ViSU-Text
288,109661,NA: None applying,A man eating with chopsticks in a Japanese restaurant.,ViSU-Text
289,127835,NA: None applying,A kitchen with a small wooden table near the stove.,ViSU-Text
290,74880,NA: None applying,A man in a suit who is adjusting his tie.,ViSU-Text
291,55806,NA: None applying,A plarte of various types of foods like fish and vegetables,ViSU-Text
292,111779,NA: None applying,A glass vase with flowers resting on a grave.,ViSU-Text
293,72904,NA: None applying,A lush green hillside covered in animals and trees.,ViSU-Text
294,37306,NA: None applying,A computer desk with shelves on the wall.,ViSU-Text
295,8466,NA: None applying,Two man posing for a picture at an airport.,ViSU-Text
296,57411,NA: None applying,Branch of tree with something growing on it.,ViSU-Text
297,79090,NA: None applying,There is an unfolded blanket on top of a bed.,ViSU-Text
298,137790,NA: None applying,A cat that is sitting in front of a laptop near a coffee cup.,ViSU-Text
299,48260,NA: None applying,Cars traveling on a three-way with large truck in the middle,ViSU-Text
300,49451,NA: None applying,A man in a vintage tuxedo opens his mouth while holding a beer.,ViSU-Text
301,128533,NA: None applying,The woman in the bikini is surfing through a wave. ,ViSU-Text
302,56914,NA: None applying,"A man sits in a small food stand, selling bananas and other items.",ViSU-Text
303,105777,NA: None applying,A batter swings as a catcher prepares to catch a baseball.,ViSU-Text
304,117977,NA: None applying,A portrait of a man standing and another with a cell phone taking a photo,ViSU-Text
305,89640,NA: None applying,A picture of a scooter and bicycles in front of a game room.,ViSU-Text
306,134871,NA: None applying,Some very pretty moose standing by a stream.,ViSU-Text
307,34379,NA: None applying,A person sitting at a table eating a doughnut.,ViSU-Text
308,4274,NA: None applying,A plate of pizza has fresh salad toppings on a wooden table.,ViSU-Text
309,108445,NA: None applying,A person wearing a snow suit coming down a hill on a snow board.,ViSU-Text
310,86091,NA: None applying,a kitchen with a lot of counters and some chairs as well,ViSU-Text
311,91778,NA: None applying,A street sign cautions about road bumps in two languages.,ViSU-Text
312,154856,NA: None applying,men standing around dressed in leather clothes and hats,ViSU-Text
313,51449,NA: None applying,Men playing baseball with the batter swinging the bat,ViSU-Text
314,147397,NA: None applying,a public transit bus on a city street,ViSU-Text
315,98448,NA: None applying,White toilet sitting outside in front of a brick building. ,ViSU-Text
316,43898,NA: None applying,A person standing in a corner with a long hose in their hand.,ViSU-Text
317,121873,NA: None applying,A busy intersection with people and cars trying to move about.,ViSU-Text
318,66754,NA: None applying,A view of a plane wing flying over and land mass.,ViSU-Text
319,89927,NA: None applying,The black and white puppy is playing with a small toy.,ViSU-Text
320,129769,NA: None applying,A sports team is playing a game of soccer.,ViSU-Text
321,15651,NA: None applying,Scattered kites dot the sky above a field filled with people.,ViSU-Text
322,123423,NA: None applying,An old toilet is re purposed as a planter,ViSU-Text
323,118280,NA: None applying,A cute dog walking on a sidewalk near a bench,ViSU-Text
324,69268,NA: None applying,a guy that is on a bike on a road,ViSU-Text
325,61242,NA: None applying,A picture of a very clean kitchen in a house.,ViSU-Text
326,37735,NA: None applying,"Two photos of a living room- one without a ceiling fan, one with the fan installed. ",ViSU-Text
327,140162,NA: None applying,A bear that is standing in the middle of the street.,ViSU-Text
328,37185,NA: None applying,Spectators closely watch a baseball game in the sun,ViSU-Text
329,132247,NA: None applying,A pizza with cheese and vegetables in a box.,ViSU-Text
330,85934,NA: None applying,A man in a three piece suit standing in a flower filled park.,ViSU-Text
331,54330,NA: None applying,These two men are resting on a bed together,ViSU-Text
332,113741,NA: None applying,A group of people are riding the bus.,ViSU-Text
333,34428,NA: None applying,A steak sandwich on a plate with a unique food design on it.,ViSU-Text
334,74395,NA: None applying,A storage room full of various old suitcases.,ViSU-Text
335,54696,NA: None applying,Woman standing in the middle of a walkway with her personal skis on.,ViSU-Text
336,115166,NA: None applying,A black lavatory stall with a black seated toilet. ,ViSU-Text
337,24586,NA: None applying,We are looking at an old photo of a young man.,ViSU-Text
338,98382,NA: None applying,A bedroom with dresser and television on it.,ViSU-Text
339,11980,NA: None applying,A bicyclist riding a bike down a residential street.,ViSU-Text
340,127107,NA: None applying,"There are two toilette paper rolls on the wall in the bathroom, next to a commode with the lid open and seat down.",ViSU-Text
341,109453,NA: None applying,"Two woman in the kitchen, one has the refrigerator door open.",ViSU-Text
342,156598,NA: None applying,a sail boat and umbrella along a beach with tall grass,ViSU-Text
343,132443,NA: None applying,A laptop on a desk and a computer monitor next to it.,ViSU-Text
344,157458,NA: None applying,A man in a suit having his neck tie adjusted.,ViSU-Text
345,90913,NA: None applying,A man at a table observing something away from him.,ViSU-Text
346,153769,NA: None applying,A small elephant climbing over a log in an enclosure.,ViSU-Text
347,139316,NA: None applying,there are cows sitting on the floor of the hill,ViSU-Text
348,76615,NA: None applying,a person wearing a suit and tie leaning on a building,ViSU-Text
349,60563,NA: None applying,A glazed donut sitting up against a Dunkin Donut cup.,ViSU-Text
350,85665,NA: None applying,Narrow bathroom featuring a large tiled shower with glass door.,ViSU-Text
351,67479,NA: None applying,A computer monitor sitting on top of a desk.,ViSU-Text
352,156761,NA: None applying,A large dog seems to be laying on someone who is also laying on the coach with a laptop. ,ViSU-Text
353,156183,NA: None applying,an elephant curls its trunk in a fenced enclosure,ViSU-Text
354,92618,NA: None applying,A white painted wall with a wood clock that has a bird on a tree limb on it.,ViSU-Text
355,108711,NA: None applying,Two zebras outside on a field during the day.,ViSU-Text
356,137399,NA: None applying,Lots of umbrellas stand tall in some sand.,ViSU-Text
357,32267,NA: None applying,A male tennis player swinging a tennis racket at a ball.,ViSU-Text
